A2M	NM_000014.4
TNFSF13	NM_003808.3
TNFSF14	NM_003807.3
TNFSF18	NM_005092.3
TNFSF4	NM_003326.4
TNFSF8	NM_001244.3
TNIK	NM_015028.2
TNIP1	NM_006058.4
TNK2	NM_001010938.1
TNK2	NM_005781.4
TNKS	NM_003747.2
TNN	NM_022093.1
TNNC1	NM_003280.2
TNNI2	NM_003282.3
TNNI3	NM_000363.4
TNNI3K	NM_015978.2
TNNT1	NM_003283.5
TNNT2	NM_000364.3
TNNT2	NM_001001430.2
TNNT3	NM_006757.3
TNPO2	NM_001136196.1
TNPO3	NM_012470.3
TNR	NM_003285.2
TNRC18	NM_001080495.2
TNRC6A	NM_014494.2
TNRC6C	NM_018996.3
TNS1	NM_022648.4
TNXB	NM_019105.6
TOMM40	NM_006114.2
TONSL	NM_013432.4
TOP1	NM_003286.2
TOP1MT	NM_052963.2
TOPBP1	NM_007027.3
TOPORS	NM_005802.4
TOR1A	NM_000113.2
TOR1AIP1	NM_001267578.1
TP53	NM_000546.5
TP53AIP1	NM_022112.2
TP53BP1	NM_005657.2
TP53BP2	NM_001031685.2
TP53I13	NM_138349.2
TP63	NM_001114980.1
TP63	NM_003722.4
TPCN1	NM_001143819.2
TPCN2	NM_139075.3
TPH1	NM_004179.2
TPH2	NM_173353.3
TPI1	NM_000365.5
TPK1	NM_022445.3
TPM1	NM_001018005.1
TPM1	NM_001018020.1
TPM2	NM_003289.3
TPM3	NM_152263.3
TPMT	NM_000367.3
TPO	NM_000547.5
TPP1	NM_000391.3
TPP2	NM_003291.2
TPR	NM_003292.2
TPRN	NM_001128228.2
TRA2A	NM_013293.4
TRADD	NM_003789.3
TRAF3	NM_003300.3
TRAF3IP1	NM_015650.3
TRAF3IP2	NM_147686.3
TRAF6	NM_145803.2
TRAF7	NM_032271.2
TRAIP	NM_005879.2
TRAK2	NM_015049.2
TRAP1	NM_016292.2
TRAPPC11	NM_021942.5
TRAPPC2	NM_001011658.3
TRAPPC9	NM_031466.6
TRDN	NM_006073.3
TREM2	NM_001271821.1
TREM2	NM_018965.3
TREML2	NM_024807.3
TREML4	NM_198153.2
TRERF1	NM_033502.3
TREX1	NM_016381.5
TREX1	NM_033629.4
TREX2	NM_080701.3
TRH	NM_007117.4
TRHR	NM_003301.5
TRIB3	NM_021158.4
TRIM11	NM_145214.2
TRIM17	NM_016102.3
TRIM2	NM_001130067.1
TRIM22	NM_006074.4
TRIM32	NM_012210.3
TRIM37	NM_015294.3
TRIM44	NM_017583.5
TRIM5	NM_033034.2
TRIM54	NM_032546.3
TRIM55	NM_033058.2
TRIM58	NM_015431.3
TRIM63	NM_032588.3
TRIM8	NM_030912.2
TRIO	NM_007118.2
TRIOBP	NM_001039141.2
TRIP11	NM_004239.3
TRIP12	NM_004238.2
TRIP4	NM_016213.4
TRMT1	NM_001136035.2
TRMT10A	NM_152292.4
TRMT10C	NM_017819.3
TRMT112	NM_016404.2
TRMT44	NM_152544.2
TRMT5	NM_020810.3
TRMU	NM_018006.4
TRNT1	NM_182916.2
TROAP	NM_005480.3
TROVE2	NM_001042369.2
TRPA1	NM_007332.2
TRPC3	NM_001130698.1
TRPC4	NM_016179.2
TRPC5	NM_012471.2
TRPC6	NM_004621.5
TRPM1	NM_002420.5
TRPM2	NM_003307.3
TRPM3	NM_001007471.2
TRPM3	NM_020952.4
TRPM4	NM_017636.3
TRPM6	NM_017662.4
TRPM7	NM_017672.5
TRPS1	NM_014112.4
TRPV1	NM_080706.3
TRPV3	NM_145068.3
TRPV4	NM_021625.4
TRPV5	NM_019841.6
TRRAP	NM_003496.3
TSC1	NM_000368.4
TSC2	NM_000548.3
TSEN15	NM_052965.3
TSEN2	NM_025265.3
TSEN34	NM_024075.4
TSEN54	NM_207346.2
TSFM	NM_001172696.1
TSHB	NM_000549.4
TSHR	NM_000369.2
TSHZ1	NM_005786.5
TSHZ2	NM_173485.5
TSHZ3	NM_020856.2
TSKS	NM_021733.1
TSNAX	NM_005999.2
TSPAN12	NM_012338.3
TSPAN17	NM_012171.2
TSPAN7	NM_004615.3
TSPEAR	NM_144991.2
TSPO	NM_000714.5
TSPYL1	NM_003309.3
TSPYL2	NM_022117.3
TSR2	NM_058163.1
TSSC4	NM_005706.3
TSSK2	NM_053006.4
TSSK4	NM_174944.3
TST	NM_003312.5
TTBK2	NM_173500.3
TTC1	NM_003314.2
TTC19	NM_017775.3
TTC21B	NM_024753.4
TTC28	NM_001145418.1
TTC3	NM_001001894.1
TTC37	NM_014639.3
TTC4	NM_004623.4
TTC7A	NM_020458.3
TTC8	NM_144596.3
TTC8	NM_198309.3
TTF2	NM_003594.3
TTI1	NM_014657.2
TTI2	NM_001102401.2
TTK	NM_001166691.1
TTLL5	NM_015072.4
TTN	NM_001256850.1
TTN	NM_001267550.2
TTN	NM_003319.4
TTN	NM_133378.4
TTN	NM_133379.4
TTPA	NM_000370.3
TTR	NM_000371.3
TUB	NM_003320.4
TUBA1A	NM_006009.3
TUBA3E	NM_207312.2
TUBA4A	NM_006000.2
TUBA8	NM_018943.2
TUBB	NM_178014.3
TUBB1	NM_030773.3
TUBB2A	NM_001069.2
TUBB2B	NM_178012.4
TUBB3	NM_006086.3
TUBB4A	NM_006087.3
TUBB8	NM_177987.2
TUBD1	NM_016261.3
TUBG1	NM_001070.4
TUBGCP4	NM_014444.3
TUBGCP5	NM_052903.4
TUBGCP6	NM_020461.3
TUFM	NM_003321.4
TULP1	NM_003322.4
TUSC3	NM_006765.3
TUT1	NM_022830.2
TWIST1	NM_000474.3
TWIST2	NM_057179.2
TWSG1	NM_020648.5
TXLNB	NM_153235.3
TXN2	NM_012473.3
TXNL4A	NM_006701.3
TXNRD2	NM_006440.4
TYK2	NM_003331.4
TYMP	NM_001953.4
TYR	NM_000372.4
TYROBP	NM_003332.3
TYRP1	NM_000550.2
UACA	NM_018003.2
UBA1	NM_003334.3
UBA3	NM_003968.3
UBA5	NM_198329.2
UBA7	NM_003335.2
UBAP2	NM_018449.3
UBASH3A	NM_018961.3
UBD	NM_006398.3
UBE2A	NM_003336.3
UBE2B	NM_003337.3
UBE2I	NM_003345.4
UBE2T	NM_014176.3
UBE3A	NM_130838.1
UBE3A	NM_130839.2
UBE3B	NM_130466.3
UBE3C	NM_014671.2
UBE3D	NM_198920.2
UBIAD1	NM_013319.2
UBN1	NM_001079514.2
UBN2	NM_173569.3
UBQLN1	NM_013438.4
UBQLN2	NM_013444.3
UBQLN4	NM_020131.4
UBR1	NM_174916.2
UBR3	NM_172070.3
UBR4	NM_020765.2
UBR5	NM_015902.5
UBR7	NM_175748.3
UBXN6	NM_025241.2
UCHL1	NM_004181.4
UCP1	NM_021833.4
UCP2	NM_003355.2
UCP3	NM_003356.3
UFL1	NM_015323.4
UFSP1	NM_001015072.3
UFSP2	NM_018359.3
UGDH	NM_003359.3
UGT1A1	NM_000463.2
UGT1A10	NM_019075.2
UGT1A3	NM_019093.2
UGT1A4	NM_007120.2
UGT1A5	NM_019078.1
UGT1A6	NM_001072.3
UGT1A7	NM_019077.2
UGT1A8	NM_019076.4
UGT1A9	NM_021027.2
UGT2A1	NM_006798.4
UGT2A3	NM_024743.3
UGT2B10	NM_001075.5
UGT2B15	NM_001076.3
UGT2B7	NM_001074.2
UHMK1	NM_175866.4
UHRF1BP1	NM_017754.3
UIMC1	NM_016290.4
ULK2	NM_001142610.1
ULK4	NM_017886.2
UMOD	NM_003361.3
UMPS	NM_000373.3
UNC119	NM_005148.3
UNC13A	NM_001080421.2
UNC13B	NM_006377.3
UNC13C	NM_001080534.1
UNC13D	NM_199242.2
UNC45B	NM_173167.2
UNC5C	NM_003728.3
UNC79	NM_020818.3
UNC80	NM_032504.1
UNC93A	NM_018974.3
UNG	NM_080911.2
UNKL	NM_001193388.3
UPB1	NM_016327.2
UPF2	NM_080599.2
UPF3B	NM_080632.2
UPK2	NM_006760.3
UPK3A	NM_006953.3
UQCC2	NM_032340.3
UQCC3	NM_001085372.2
UQCRB	NM_006294.4
UQCRC2	NM_003366.2
UQCRQ	NM_014402.4
URB1	NM_014825.2
URB2	NM_014777.2
UROC1	NM_144639.2
UROD	NM_000374.4
UROS	NM_000375.2
USB1	NM_024598.3
USF1	NM_007122.4
USH1C	NM_005709.3
USH1C	NM_153676.3
USH1G	NM_173477.4
USH2A	NM_206933.2
USP10	NM_005153.2
USP11	NM_004651.3
USP15	NM_001252078.1
USP18	NM_017414.3
USP24	NM_015306.2
USP26	NM_031907.1
USP27X	NM_001145073.2
USP30	NM_032663.4
USP34	NM_014709.3
USP36	NM_025090.3
USP44	NM_032147.4
USP46	NM_022832.3
USP48	NM_032236.5
USP54	NM_152586.3
USP6NL	NM_001080491.3
USP8	NM_005154.4
USP9X	NM_001039590.2
USP9Y	NM_004654.3
UTF1	NM_003577.2
UTP6	NM_018428.2
UTRN	NM_007124.2
UTS2	NM_021995.2
UTS2R	NM_018949.2
UVSSA	NM_020894.2
VAC14	NM_018052.3
VAMP1	NM_014231.4
VAMP7	NM_005638.5
VANGL1	NM_138959.2
VANGL2	NM_020335.2
VAPB	NM_004738.4
VARS	NM_006295.2
VARS2	NM_001167734.1
VAV3	NM_006113.4
VAX1	NM_001112704.1
VCAM1	NM_001078.3
VCAN	NM_004385.4
VCL	NM_014000.2
VCP	NM_007126.3
VCX2	NM_016378.3
VDR	NM_001017535.1
VEGFA	NM_001025366.2
VEGFB	NM_003377.4
VHL	NM_000551.3
VIL1	NM_007127.2
VIM	NM_003380.3
VIP	NM_003381.3
VIPAS39	NM_022067.3
VKORC1	NM_024006.4
VLDLR	NM_003383.3
VMA21	NM_001017980.3
VNN1	NM_004666.2
VPS13A	NM_033305.2
VPS13B	NM_017890.4
VPS13C	NM_020821.2
VPS13D	NM_015378.3
VPS16	NM_022575.3
VPS33B	NM_018668.4
VPS35	NM_018206.4
VPS37A	NM_152415.2
VPS39	NM_015289.3
VPS45	NM_007259.4
VPS4A	NM_013245.2
VPS53	NM_001128159.2
VPS8	NM_001009921.2
VRK1	NM_003384.2
VSIG4	NM_007268.2
VSX1	NM_014588.5
VSX2	NM_182894.2
VTN	NM_000638.3
VWA3B	NM_144992.4
VWF	NM_000552.3
WAC	NM_016628.4
WARS	NM_004184.3
WAS	NM_000377.2
WBP2	NM_012478.3
WBSCR16	NM_030798.4
WDFY3	NM_014991.4
WDFY4	NM_020945.1
WDPCP	NM_015910.5
WDR11	NM_018117.11
WDR19	NM_025132.3
WDR26	NM_025160.6
WDR31	NM_145241.3
WDR34	NM_052844.3
WDR35	NM_001006657.1
WDR36	NM_139281.2
WDR4	NM_033661.4
WDR45	NM_007075.3
WDR45B	NM_019613.3
WDR48	NM_020839.3
WDR5	NM_052821.3
WDR6	NM_018031.3
WDR60	NM_018051.4
WDR62	NM_001083961.1
WDR64	NM_144625.4
WDR65	NM_152498.3
WDR66	NM_144668.5
WDR72	NM_182758.3
WDR73	NM_032856.3
WDR81	NM_001163809.1
WDR87	NM_031951.4
WDR88	NM_173479.3
WDR93	NM_020212.1
WFS1	NM_006005.3
WIF1	NM_007191.4
WIPF1	NM_001077269.1
WIPI2	NM_001033520.1
WISP3	NM_003880.3
WIZ	NM_021241.2
WNK1	NM_001184985.1
WNK1	NM_018979.3
WNK1	NM_213655.4
WNK2	NM_006648.3
WNK3	NM_020922.4
WNK4	NM_032387.4
WNT1	NM_005430.3
WNT10A	NM_025216.2
WNT10B	NM_003394.3
WNT11	NM_004626.2
WNT16	NM_057168.1
WNT3	NM_030753.4
WNT3A	NM_033131.3
WNT4	NM_030761.4
WNT5A	NM_003392.4
WNT5B	NM_032642.2
WNT6	NM_006522.3
WNT7A	NM_004625.3
WNT8A	NM_058244.3
WNT9B	NM_003396.1
WRAP53	NM_018081.2
WRN	NM_000553.4
WT1	NM_024426.4
WWC1	NM_015238.2
WWC2	NM_024949.5
WWC3	NM_015691.3
WWOX	NM_016373.3
WWOX	NM_130791.3
WWP1	NM_007013.3
WWP2	NM_007014.4
XAF1	NM_017523.3
XBP1	NM_005080.3
XDH	NM_000379.3
XIAP	NM_001167.3
XIRP1	NM_194293.2
XIRP2	NM_001199143.1
XIRP2	NM_152381.5
XK	NM_021083.2
XKR3	NM_175878.3
XKR6	NM_173683.3
XKR9	NM_001011720.1
XPA	NM_000380.3
XPC	NM_004628.4
XPNPEP1	NM_001167604.1
XPNPEP3	NM_022098.3
XPO5	NM_020750.2
XPO7	NM_015024.4
XPOT	NM_007235.4
XPR1	NM_004736.3
XRCC1	NM_006297.2
XRCC2	NM_005431.1
XRCC3	NM_005432.3
XRCC4	NM_022406.2
XRN2	NM_012255.3
XYLT1	NM_022166.3
XYLT2	NM_022167.3
YAE1D1	NM_020192.4
YAP1	NM_001130145.2
YARS	NM_003680.3
YARS2	NM_001040436.2
YBEY	NM_001006114.1
YBX2	NM_015982.3
YDJC	NM_001017964.1
YES1	NM_005433.3
YTHDC1	NM_001031732.2
YWHAB	NM_003404.4
YWHAZ	NM_001135699.1
YY1	NM_003403.4
ZAP70	NM_001079.3
ZBTB16	NM_006006.4
ZBTB18	NM_205768.2
ZBTB20	NM_001164342.2
ZBTB22	NM_005453.4
ZBTB24	NM_014797.2
ZBTB38	NM_001080412.2
ZBTB40	NM_001083621.1
ZBTB41	NM_194314.2
ZBTB42	NM_001137601.1
ZBTB45	NM_032792.2
ZC3H10	NM_032786.2
ZC3H12B	NM_001010888.3
ZC3H14	NM_024824.4
ZC3H3	NM_015117.2
ZC3H6	NM_198581.2
ZC3HAV1	NM_020119.3
ZC4H2	NM_018684.3
ZCCHC12	NM_173798.2
ZCCHC13	NM_203303.2
ZCCHC16	NM_001004308.2
ZCCHC8	NM_017612.4
ZDBF2	NM_020923.2
ZDHHC5	NM_015457.2
ZDHHC8	NM_013373.3
ZDHHC9	NM_016032.3
ZEB1	NM_030751.5
ZEB2	NM_014795.3
ZFP14	NM_020917.2
ZFP30	NM_014898.2
ZFP36	NM_003407.3
ZFP36L1	NM_004926.3
ZFP57	NM_001109809.2
ZFP69	NM_198494.2
ZFPL1	NM_006782.3
ZFPM2	NM_012082.3
ZFR	NM_016107.3
ZFYVE16	NM_014733.4
ZFYVE20	NM_022340.3
ZFYVE26	NM_015346.3
ZFYVE27	NM_001002261.3
ZGRF1	NM_018392.4
ZHX2	NM_014943.3
ZHX3	NM_015035.3
ZIC1	NM_003412.3
ZIC2	NM_007129.3
ZIC3	NM_003413.3
ZKSCAN5	NM_014569.3
ZMPSTE24	NM_005857.4
ZMYM2	NM_003453.4
ZMYM3	NM_201599.2
ZMYM5	NM_001142684.1
ZMYM6	NM_007167.3
ZMYND10	NM_015896.2
ZMYND11	NM_006624.5
ZMYND15	NM_001136046.2
ZNF133	NM_001083330.2
ZNF141	NM_003441.2
ZNF142	NM_001105537.2
ZNF143	NM_003442.5
ZNF157	NM_003446.3
ZNF213	NM_004220.2
ZNF217	NM_006526.2
ZNF224	NM_013398.2
ZNF233	NM_181756.2
ZNF236	NM_007345.3
ZNF24	NM_006965.2
ZNF292	NM_015021.1
ZNF311	NM_001010877.2
ZNF326	NM_182975.2
ZNF335	NM_022095.3
ZNF34	NM_030580.4
ZNF350	NM_021632.3
ZNF365	NM_199452.3
ZNF407	NM_017757.2
ZNF408	NM_024741.2
ZNF41	NM_153380.2
ZNF420	NM_144689.3
ZNF423	NM_015069.3
ZNF426	NM_024106.1
ZNF445	NM_181489.5
ZNF45	NM_003425.3
ZNF451	NM_001031623.2
ZNF469	NM_001127464.2
ZNF490	NM_020714.2
ZNF512B	NM_020713.2
ZNF513	NM_144631.5
ZNF518B	NM_053042.2
ZNF519	NM_145287.3
ZNF526	NM_133444.1
ZNF532	NM_018181.4
ZNF536	NM_014717.1
ZNF543	NM_213598.3
ZNF551	NM_138347.4
ZNF559	NM_001202406.1
ZNF582	NM_144690.1
ZNF589	NM_016089.2
ZNF592	NM_014630.2
ZNF600	NM_198457.2
ZNF607	NM_032689.4
ZNF624	NM_020787.3
ZNF638	NM_014497.4
ZNF644	NM_201269.2
ZNF668	NM_001172668.1
ZNF674	NM_001039891.2
ZNF683	NM_001114759.1
ZNF687	NM_020832.2
ZNF711	NM_021998.4
ZNF721	NM_133474.3
ZNF750	NM_024702.2
ZNF75D	NM_007131.4
ZNF77	NM_021217.2
ZNF774	NM_001004309.2
ZNF780B	NM_001005851.2
ZNF783	NM_001195220.1
ZNF79	NM_007135.2
ZNF81	NM_007137.3
ZNF813	NM_001004301.3
ZNF816	NM_001031665.2
ZNF844	NM_001136501.1
ZP1	NM_207341.3
ZP4	NM_021186.3
ZPBP	NM_007009.2
ZPBP2	NM_199321.2
ZPR1	NM_003904.3
ZRSR2	NM_005089.3
ZSCAN29	NM_152455.3
ZSWIM6	NM_020928.1
ZSWIM7	NM_001042697.1
ZXDC	NM_001040653.3
kalrntv2	NM_003947.4
zak	NM_016653.2
